N,t,std_last5
300,16,7219.912149387783
300,17,7137.319125018983
300,18,6661.788472509811
300,19,6874.546114344077
300,20,7727.475853708792
300,21,7361.025906338895
300,22,7533.942491703621
300,23,7288.016386688127
300,24,6282.004908240006
300,25,6074.44617421726
300,26,5924.170372884602
300,27,5340.508504253349
300,28,4942.163335305625
300,29,4452.660204182614
300,30,4063.3898660913255
300,31,4189.4006913823905
300,32,4185.329767559215
300,33,4179.411910868157
300,34,4279.235372671235
300,35,4600.934995730317
300,36,5526.690015724843
300,37,6123.493972053792
300,38,7208.5302530948
300,39,7780.883189220921
300,40,7224.695802966865
300,41,6926.563823590899
300,42,7270.572798642511
300,43,7582.595090188945
300,44,7619.123823083554
300,45,7680.944132709299
300,46,4748.602978269485
300,47,3386.7174047493645
400,1,190.27206456648878
400,2,235.44306523901062
400,3,266.98121219381875
400,4,346.91230432515397
400,5,941.1852987873123
400,6,2594.6490574855966
400,7,1757.0244805126395
400,8,1631.828751990344
400,9,1555.817834991205
400,10,1544.8876334694526
400,11,1537.4267186077755
400,12,1474.105054838633
400,13,5783.4243101720185
400,14,6392.827949861524
400,15,6817.348320686659
400,16,7850.26020431564
400,17,7771.4268497566945
400,18,7226.421403351443
400,19,7169.001786817797
400,20,7881.2224184832585
400,21,7347.256632077568
400,22,7148.257714703636
400,23,6863.98382902909
400,24,6561.7723641371895
400,25,6278.9390614367585
400,26,6211.558208509723
400,27,5879.960822289072
400,28,5675.008778232106
400,29,5381.417583212377
400,30,4892.003477830401
400,31,5213.785456487023
400,32,5576.029394938437
400,33,5369.199757152096
400,34,5726.062381479285
400,35,6097.143679157535
400,36,7150.725390320542
400,37,7345.747091990186
400,38,8369.453784156425
400,39,8382.04406602957
400,40,7161.794019650135
400,41,6292.771845990146
400,42,5443.510271698311
400,43,4883.720978743611
400,44,4783.406457032805
400,45,5915.951845937909
400,46,5817.317397065859
400,47,4418.502270251902
500,1,190.27206456648892
500,2,236.20419627554003
500,3,267.46424466330285
500,4,361.98397932352196
500,5,920.3007374365039
500,6,2555.73507256642
500,7,1815.3055771971224
500,8,2315.237494846767
500,9,2023.4681841182794
500,10,2042.3549474441704
500,11,2185.3397654985833
500,12,1594.3147689226328
500,13,1919.5173154644674
500,14,2798.2433313506544
500,15,3608.276803637471
500,16,4025.501052323326
500,17,3843.244821095386
500,18,3818.4106787545797
500,19,3966.7548821371324
500,20,5123.761357287078
500,21,4650.255989415613
500,22,5024.990553778431
500,23,4780.96450248634
500,24,4551.428086304309
500,25,4175.857400083543
500,26,3995.082925674189
500,27,3305.0857503947254
500,28,2918.242796101631
500,29,2582.531730196645
500,30,2302.5183398018835
500,31,2011.9682514158585
500,32,2053.5189762881687
500,33,2457.644388637378
500,34,2570.4525718961886
500,35,2734.419333702299
500,36,3600.520126039958
500,37,4337.740099489057
500,38,5214.164043386977
500,39,6513.240504259859
500,40,6035.146622914099
500,41,5840.686652370288
500,42,6413.8443596490015
500,43,6325.014383517118
500,44,5944.897902658698
500,45,7139.034745919614
500,46,6964.372912137673
500,47,5619.412500884468
600,1,172.06690303185718
600,2,1045.1884760884468
600,3,1063.1621891541106
600,4,1109.6565191246793
600,5,1394.3702661066034
600,6,2333.6685925115867
600,7,1849.3524068076013
600,8,2236.9889823257236
600,9,2148.846173626235
600,10,2143.8042008660123
600,11,2184.15835301048
600,12,1788.1015114929294
600,13,4880.465051054597
600,14,5493.806945225994
600,15,5757.556342243052
600,16,6643.908913841468
600,17,6738.669558577867
600,18,6554.177736032283
600,19,6534.350964322757
600,20,7649.4763879480615
600,21,7247.708046712167
600,22,7059.468817105024
600,23,6190.395238282367
600,24,5189.903610030336
600,25,5068.860201963556
600,26,4471.693160487495
600,27,3734.77286559441
600,28,3544.2281261178096
600,29,3297.8067114039895
600,30,2879.483862845625
600,31,3040.200280112918
600,32,3083.628842220543
