N,t,std_last5
500,3,267.4642446633032
500,4,361.9839793235222
500,5,920.3007374365042
500,6,2555.73507256642
500,7,1815.3055771971224
500,8,2315.237494846767
500,9,2023.4681841182792
500,10,2042.3549474441704
500,11,2185.3397654985833
500,12,1594.3147689226328
500,13,1919.5173154644679
500,14,2798.243331350655
500,15,3608.2768036374714
500,16,4025.5010523233273
500,17,3843.244821095388
500,18,3818.4106787545816
500,19,3966.754882137135
500,20,5123.7613572870805
500,21,4650.255989415617
500,22,5024.990553778434
500,23,4780.964502486344
500,24,4551.428086304312
500,25,4175.857400083547
500,26,3995.0829256741936
500,27,3305.085750394729
500,28,2918.242796101634
500,29,2582.531730196649
500,30,2302.518339801886
500,31,2011.9682514158608
500,32,2053.518976288171
500,33,2457.6443886373804
500,34,2570.452571896191
500,35,2734.419333702302
500,36,3600.520126039963
500,37,4337.740099489061
500,38,5214.164043386982
500,39,6513.240504259865
500,40,6035.1466229141
500,41,5840.686652370289
500,42,6413.844359649002
500,43,6325.014383517118
500,44,5944.897902658698
500,45,7139.034745919615
500,46,6964.372912137675
500,47,5619.41250088447
600,1,172.06690303185718
600,2,1045.1884760884466
600,3,1063.16218915411
600,4,1109.6565191246784
600,5,1394.3702661066027
600,6,2333.6685925115867
600,7,1849.352406807601
600,8,2236.988982325723
600,9,2148.846173626235
600,10,2143.8042008660123
600,11,2184.15835301048
600,12,1788.1015114929298
600,13,4880.465051054598
600,14,5493.806945225994
600,15,5757.556342243052
600,16,6643.908913841469
600,17,6738.669558577868
600,18,6554.177736032285
600,19,6534.350964322759
600,20,7649.476387948064
600,21,7247.7080467121705
600,22,7059.4688171050275
600,23,6190.395238282369
600,24,5189.903610030339
600,25,5068.86020196356
600,26,4471.693160487498
600,27,3734.7728655944134
600,28,3544.228126117811
600,29,3297.8067114039914
600,30,2879.483862845627
600,31,3040.2002801129197
600,32,3083.6288422205453
600,33,3104.4236259605846
600,34,3107.04671567441
600,35,3493.101749699609
600,36,4122.325734417975
600,37,3783.9925566166003
600,38,4281.01198670228
600,39,4113.932553647818
600,40,3302.326458982977
600,41,3024.5151755940865
600,42,3303.9747331012377
600,43,3515.2483251644107
600,44,3528.297958623199
600,45,4315.515856916252
600,46,2905.974701785443
600,47,2363.535588791509
700,1,190.27206456648906
700,2,236.21411132364526
700,3,267.3846638916925
700,4,373.3196393454925
700,5,927.60973010589
700,6,2612.6960059650105
700,7,1831.0242843336498
700,8,1662.6747788447603
700,9,1475.7592046123254
700,10,1413.5022363448015
700,11,1436.0107744273391
700,12,1468.3495091226523
700,13,5319.957308966847
