t,last5_index,Vhat
21,3,2974.244495899612
22,3,2510.6819647088287
23,3,1732.4171554078746
24,3,4880.338476998517
25,3,3782.355263922279
26,3,3867.5638290911124
27,3,3740.5615083329913
28,3,2994.3816583414664
29,3,2910.1497787229155
30,3,2341.637545554494
31,3,2244.9526513598375
32,3,2115.75352266678
33,3,1768.1962981326096
34,3,1674.2190526060988
35,3,1532.3546479202282
36,3,1574.2896561119187
37,3,1641.5306008205903
38,3,2208.967729471454
39,3,2445.618650636443
40,3,2727.060372859315
41,3,2988.619608606643
42,3,3260.673466262677
43,3,3092.3644285052783
44,3,2552.445853697718
45,3,2520.7518674361377
46,3,2514.216380553664
47,3,795.7791534653127
1,4,3824.9043105838955
2,4,4740.764936380638
3,4,5380.339706500565
4,4,5187.144019139463
5,4,4479.951619373891
6,4,3622.43204905562
7,4,3186.630441020261
8,4,2258.8249579901744
9,4,1822.4268239603484
10,4,1625.186257171377
11,4,1435.3749438492391
12,4,1503.0672754247057
13,4,1810.764192455079
14,4,2001.4068698465087
15,4,2510.4258186863053
16,4,2929.779983853331
17,4,3434.5718803139025
18,4,3313.3185313424983
19,4,3418.483695141249
20,4,3444.8201062517
21,4,3068.1866373863077
22,4,3517.3670842103093
23,4,3616.0465080767603
24,4,3854.444015960651
25,4,5146.68672149384
26,4,4023.500681018385
27,4,4048.2523934070155
28,4,3906.1431789959315
29,4,3356.0134952398926
30,4,3020.522737369236
31,4,2551.4198390266906
32,4,2491.645952195907
33,4,2480.1626345210943
34,4,2005.4145737142971
35,4,1906.7212099448411
36,4,2244.467320826545
37,4,2286.641005790043
38,4,2425.6805478646347
39,4,2687.168708442588
40,4,2795.5470532103704
41,4,3756.0172015514872
42,4,3314.38871164767
43,4,2814.211402756755
44,4,2741.7422621784835
45,4,2432.41752064175
46,4,2126.488262967687
47,4,795.7791534653127
1,5,5625.014149664907
2,5,4061.6093410540648
3,5,4251.396750154938
4,5,3828.388029091248
5,5,3360.4617653207933
6,5,1712.443537044851
7,5,2122.057690872797
8,5,2238.1091619901244
9,5,2124.0750211955337
10,5,1811.84910944912
11,5,1781.237982430483
12,5,1758.5948429731666
13,5,1498.7896455536993
14,5,1768.100256161863
15,5,2528.2518237170125
16,5,2719.9054604113703
17,5,4405.872200384416
18,5,3072.1540145707236
19,5,2875.7447858701435
20,5,2973.6510366034727
21,5,2886.1291096133837
22,5,2624.5470963895013
23,5,2643.2397913282034
24,5,2622.7244237758023
25,5,3313.4954644180093
26,5,3617.9242510586546
27,5,3677.858778458517
28,5,3431.7526004736037
29,5,2840.8853877141028
30,5,2620.1065785884407
31,5,2033.760935967764
32,5,1957.0304276131862
33,5,1950.041870915368
34,5,1720.5794851258752
35,5,1430.4143199883017
36,5,1741.989579295369
37,5,1606.0863433633335
38,5,1717.0086594391046
39,5,2369.502746556159
40,5,3701.673058291246
41,5,2963.0944323417502
42,5,3491.5573441471543
43,5,3489.144381927744
44,5,3797.516640156792
45,5,3747.2620875395937
46,5,3548.6934496829144
47,5,795.7791534653127
