scenario,WS,EEV,regret
127,101869.63855403,98364.11837572,3505.52017831
128,89977.01999950,84619.53864551,5357.48135400
129,87857.17109208,73383.80735493,14473.36373715
130,114601.25442329,111283.86123693,3317.39318636
131,76060.88844253,69097.85313755,6963.03530498
132,93039.22054332,86906.36281581,6132.85772751
133,93066.46936892,85658.69656875,7407.77280017
134,93955.91036538,87948.35781860,6007.55254679
135,117300.09099327,112414.50072643,4885.59026684
136,94725.12749963,84868.54604299,9856.58145664
137,95237.36039958,83341.75830716,11895.60209242
138,83389.10975369,73505.17021636,9883.93953733
139,101148.11987637,94635.78999346,6512.32988291
140,84440.19634577,74421.18570432,10019.01064145
141,102320.68775618,87065.23919505,15255.44856114
142,93864.50256280,77628.60901367,16235.89354913
143,98545.86277032,71364.53314262,27181.32962770
144,93392.68603643,84804.19453309,8588.49150334
145,100436.14063934,90221.73778219,10214.40285715
146,76467.85285546,72637.94706226,3829.90579320
147,85953.03886331,77104.10361535,8848.93524796
148,102346.20741030,96341.03977594,6005.16763436
149,78518.75285043,75529.39547097,2989.35737947
150,96836.19522039,91149.50032535,5686.69489504
151,105136.94853715,91317.99013068,13818.95840647
152,84659.97119573,78738.71957929,5921.25161645
153,81873.25832458,73427.33898076,8445.91934382
154,99327.22294639,96167.15601530,3160.06693109
155,108322.96607184,91570.15710819,16752.80896365
156,102570.55277301,88785.02954744,13785.52322556
157,78138.47185063,72227.59065447,5910.88119616
158,92938.70318473,84066.36580800,8872.33737673
159,107631.34280961,105026.63244113,2604.71036848
160,86819.21081223,83940.08827685,2879.12253538
161,96440.34590935,87835.06461990,8605.28128945
162,110076.02430472,79359.31639185,30716.70791287
163,67065.24882140,60016.69664173,7048.55217967
164,81236.38644353,75078.35589520,6158.03054833
165,87139.62015112,80087.24189182,7052.37825930
166,111328.53816776,107300.39957028,4028.13859748
167,114428.66172982,100389.79551678,14038.86621305
168,90128.54715393,88159.39395883,1969.15319510
169,96820.05795135,90992.33869702,5827.71925433
170,90587.41692004,88136.00885737,2451.40806268
171,98087.88052601,95055.66451026,3032.21601575
172,95047.23186605,83619.01153428,11428.22033177
173,89779.01007399,79001.81924898,10777.19082501
174,91895.29972177,66513.68514290,25381.61457886
175,99860.30002334,85720.92635552,14139.37366782
176,101684.32416688,94779.62513111,6904.69903577
177,95770.27132059,93470.53696145,2299.73435914
178,108177.42336071,99065.59172716,9111.83163356
179,85827.12352085,70616.94965614,15210.17386471
180,84783.36455372,81894.98762042,2888.37693329
181,90821.38740048,77432.29093707,13389.09646341
182,83868.22074498,75885.10972166,7983.11102332
183,99830.58278123,94917.38250623,4913.20027499
184,97215.14757649,92107.39422331,5107.75335318
